_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:가창농협앞|,가창농협앞,230498,12360,12360,6.0,35.80440002,128.6231732,달성군,242858,38416.333333333336,7985.0,1734.0,1167.0,14.0,14시,21.71571696931747,14.61490294301816,218138,0.8982121239572096,생활형
name:가창댐1|,가창댐1,399,2014,2014,1.0,35.79833,128.613635,달성군,2413,399.0,0.0,0.0,0.0,5.0,5시,,,-1615,0.6692913385826772,저이용형
name:가창댐|,가창댐,127,148,148,1.0,35.79783667,128.6156767,달성군,275,127.0,0.0,0.0,0.0,5.0,5시,,,-21,0.07636363636363637,저이용형
name:가창면행정복지센터건너|,가창면행정복지센터건너,64798,40243,40243,8.0,35.80284,128.6221449,달성군,105041,8099.75,3154.0,727.0,593.0,10.0,10시,23.05009511731135,18.80152187698161,24555,0.23376586285355241,생활형
name:가창면행정복지센터앞|,가창면행정복지센터앞,146559,30270,30270,8.0,35.802725,128.622365,달성군,176829,18319.875,5556.0,985.0,1362.0,17.0,17시,17.728581713462923,24.51403887688985,116289,0.6576353426191405,생활형
name:가창중학교건너|,가창중학교건너,48469,367,367,5.0,35.77510833,128.64591,달성군,48836,9693.8,1615.0,118.0,315.0,16.0,16시,7.306501547987616,19.5046439628483,48102,0.9849701040216234,생활형
name:가창중학교앞|,가창중학교앞,1965,6204,6204,5.0,35.77405667,128.6460533,달성군,8169,393.0,34.0,0.0,3.0,16.0,16시,0.0,8.823529411764707,-4239,0.5189129636430407,저이용형
name:가창초등학교건너2|,가창초등학교건너2,3436,2331,2331,2.0,35.76978833,128.64795,달성군,5767,1718.0,115.0,7.0,6.0,11.0,11시,6.086956521739131,5.217391304347826,1105,0.19160742153632737,생활형
name:가창초등학교건너|,가창초등학교건너,48318,7623,7623,3.0,35.77120333,128.6473267,달성군,55941,16106.0,1644.0,285.0,303.0,15.0,15시,17.335766423357665,18.43065693430657,40695,0.7274628626588727,생활형
name:가창초등학교앞|,가창초등학교앞,60264,1909,1909,5.0,35.76956665,128.6483141,달성군,62173,12052.8,2045.0,358.0,323.0,15.0,15시,17.506112469437653,15.794621026894864,58355,0.9385907065768099,생활형
name:가천동건너|,가천동건너,4868,315,315,1.0,35.85147702,128.6851079,수성구,5183,4868.0,136.0,28.0,45.0,10.0,10시,20.588235294117645,33.088235294117645,4553,0.8784487748408257,퇴근형
